name,latitude,longitude
acrc44,-10.670878000000,-67.730195000000
acrc45,-10.60157200008857,-67.76028699911092
acrc46,-10.34493100157913,-67.60393499928809
acrc47,-10.39193600087105,-67.71341299927128
acrc48,-10.36241300194306,-67.60070300213992
acrc49,-10.28429400025178,-67.63265600006396
acrc5,-10.208509,-67.656982
acrc50,-10.49995600005969,-67.76729099999392
acrc51,-10.30382,-67.235851
acrc52,-10.30080100010242,-67.56396500002458
acrc53,-9.650611008711589,-67.21531300228499
acrc54,-10.0153999983511,-67.15443499795211
acrc55,-10.03223899904894,-67.53475099946084
acrc56,-10.32129199988878,-67.79509100000203
acrc57,-10.03093996525195,-67.52714569650261
acrc58,-10.04387300438899,-67.10367899862175
acrc59,-10.24441400838507,-67.59739396166781
acrc60,-9.74665000000,-67.29342500000
acrc61,-10.3228670039671,-67.78748299033236
acrc62,-10.02283000001486,-67.72436299999329
acrc63,-10.51573999990525,-67.83432399994197
acrc64,-10.59875100017191,-67.79852099918125
acrc65,-10.48141830618054,-67.75450776585804
acrc66,-10.41780999952379,-67.71822700157449
acrc67,-10.10764699782872,-67.57362700056827
acrc68,-10.68850581389059,-67.73148612464648
acrc69,-10.4408290001932,-67.72620100068443
acrc6,-10.078716000000,-67.995066000000
acrc70,-10.43974499915311,-67.66385700062021
acrc71,-10.3946080004138,-67.63930899983362
acrc72,-9.947634011284709,-67.60689300214969
acrc7,-10.08810300055591,-67.50909799999999
acrc8,-10.37875400005845,-67.75509800000617
acrc9,-10.38091259145961,-67.65798366235779
acrci,-10.26516954621087,-67.69721866904158
acrcs,-9.960793,-67.498223
acrdc,-10.02854946061383,-67.7283665501331
acrde,-9.930138000000,-66.791779000000
acrdg,-9.75684099913507,-67.16167599961607
acrdo,-10.176205,-67.06876099999999
acrdp,-9.901016000000,-67.423950000000
acrdq,-9.960332000000,-67.283059000000
acrdq1,-10.04827100099229,-66.96496499986505
acrdr,-9.963932000773672,-67.49071899923001
acrds,-9.856223,-66.94083999999999
acre1,-10.25805334563289,-67.679151
acre10,-10.595023,-67.686464
acre11,-10.595172,-67.68732300000001
acre12,-10.071104,-68.00408400000001
acrel3,-10.11120299727997,-67.58260700011303
acre14,-10.031278,-67.512766
acre15,-9.793990000000,-67.053777000000
acre16,-10.240519,-67.595027
acre17,-10.16756600154283,-67.35119599894668
acre18,-9.785025997815925,-66.94758300373067
acre19,-10.15481600032643,-67.79958800072154
acre2,-10.613629,-67.810084
acre20,-9.811788001803864,-67.52838200294586
acre21,-10.41816200001859,-68.19160900088325
acre22,-9.371200000000012,-67.999793
acre23,-9.663179999127561,-67.30698899956039
acre24,-9.793719639040662,-67.37539177927093
acre25,-10.46566300156544,-67.93135400020462
acre26,-10.32236800063877,-67.79604699854967
acre27,-10.29631000080872,-67.90551400060761
acre28,-10.35168600084785,-67.71306100063315
acre29,-10.35162800033757,-67.71087600057794
acre3,-10.301061000000,-67.693363000000
acre30,-10.31738300006009,-67.66275300001816
acre31,-10.38821400007738,-67.58796500002568
acre32,-10.387917000000,-67.558119000000
acre33,-10.389151000000,-67.559095000000
acre34,-10.637145000000,-67.808143000000
acre35,-10.34159300057287,-67.79039400006681
acre36,-10.40938700005503,-67.85374100000651
acre37,-10.09800700108345,-67.79726699959083
acre38,-10.35083499946319,-67.71378699955001
acre39,-9.6627020030051,-67.17526400052446
acre4,-10.29608500052167,-67.65148999902343
acre40,-9.692414998255085,-67.27604099873275
acre41,-10.30493799875525,-67.9087669988216
acre42,-10.28651500126042,-67.5946170005502
acre43,-10.23952499999534,-67.59491500001891
acre44,-10.30482899870006,-67.69673899971414
acre45,-10.29164899928965,-67.69098599830349
acre46,-10.26066599959707,-67.68423999986881
acre47,-10.10048100044909,-67.0039980008969
acre48,-10.37855799863574,-67.60042599967512
acre49,-10.3872790014639,-67.58973799929356
acre5,-10.597968000000,-67.802991000000
acre50,-9.962403537199053,-67.32047580933801
acre51,-10.49210099945169,-67.63402599978754
acre52,-10.22511400159179,-67.95474399958076
acre53,-10.24344700095752,-67.70769700152799
